horse_id,horse_name,日付,開催,天氣,R,レース名,頭数,枠番,馬番,オッズ,人氣,着順,騎手ID,騎手,斤量,距離,馬場,タイム,着差,通過,ペース,上り,馬體重,性齢,父系,母父系
2019105283,ドウデュース,2024/12/22,5中山8,晴,11,有馬記念(GI),15,1,2,,,取,00666,武豊,58,芝2500,良,,,,31.4-35.2,,,未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2024/11/24,5東京8,晴,12,ジャパンC(GI),14,3,3,2.3,1,1,00666,武豊,58,芝2400,良,2:25.5,0.0,13-12-12-7,37.1-33.4,32.7,510(+6),未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2024/10/27,4東京8,曇,11,天皇賞(秋)(GI),15,4,7,3.8,2,1,00666,武豊,58,芝2000,良,1:57.3,-0.2,14-14-13,35.9-33.7,32.5,504(-4),未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2024/06/23,4京都8,曇,11,宝塚記念(GI),13,4,4,2.3,1,6,00666,武豊,58,芝2200,重,2:12.9,0.9,11-11-13-11,35.6-34.5,34.6,508(0),未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2024/03/30,メイダン,,,ドバイターフ(GI),16,,5,2.1,1,5,00666,武豊,57,芝1800,良,,,,,,,未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2023/12/24,5中山8,晴,11,有馬記念(GI),16,3,5,5.2,2,1,00666,武豊,58,芝2500,良,2:30.9,-0.1,13-13-8-3,30.2-35.9,34.3,506(+2),未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2023/11/26,5東京8,曇,12,ジャパンC(GI),18,3,5,13.2,3,4,05386,戸崎圭太,58,芝2400,良,2:22.7,0.9,6-6-6-6,35.5-36.5,33.7,504(-8),未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2023/10/29,4東京9,晴,11,天皇賞(秋)(GI),11,3,3,4.3,2,7,05386,戸崎圭太,58,芝2000,良,1:56.6,1.4,4-4-4,34.9-34.7,35.3,512(+4),未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2023/03/25,メイダン,晴,,ドバイターフ(GI),14,,3,,,取,00666,武豊,57,芝1800,良,,,,,,,未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2023/02/12,1阪神2,晴,11,京都記念(GII),13,8,12,2.5,1,1,00666,武豊,58,芝2200,良,2:10.9,-0.6,11-11-8-6,34.6-34.5,34.0,508(0),未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2022/10/02,パリロンシャン,,,凱旋門賞(GI),20,,19,7.5,3,19,00666,武豊,56.5,芝2400,重,,,,,56.5,,未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2022/09/11,パリロンシャン,,,ニエル賞(GII),7,,5,,2,4,00666,武豊,58,芝2400,重,,,,,,,未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2022/05/29,2東京12,晴,11,東京優駿(GI),18,7,13,4.2,3,1,00666,武豊,57,芝2400,良,2:21.9,0.0,13-14-14-14,35.1-35.2,33.7,490(-6),未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2022/04/17,3中山8,曇,11,皐月賞(GI),18,6,12,3.9,1,3,00666,武豊,57,芝2000,良,2:00.0,0.3,15-15-16-14,35.2-34.9,33.8,496(-8),未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2022/03/06,2中山4,曇,11,報知弥生ディープ記念(GII),11,6,7,2.2,1,2,00666,武豊,56,芝2000,良,2:00.5,0.0,5-4-4-5,36.2-35.2,35.0,504(+8),未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2021/12/19,6阪神6,晴,11,朝日フューチュリティ(GI),15,5,9,7.8,3,1,00666,武豊,55,芝1600,良,1:33.5,-0.1,8-7,34.3-35.2,34.5,496(-10),未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
2019105283,ドウデュース,2021/10/23,4東京5,晴,9,アイビーS(L),8,4,4,3.8,2,1,00666,武豊,55,芝1800,良,1:49.3,0.0,2-4-3,35.9-34.5,34.0,506(+12),未知,ハーツクライ2001 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒]
