horse_id,horse_name,日付,開催,天氣,R,レース名,頭数,gate,馬番,オッズ,popularity,rank_num,jockey_id,jockey_name,weight_carried,距離,馬場,タイム,着差,通過,ペース,上り,馬體重,性齢,父系,母父系,sex_code,age,sire_line,weight_val,avg_rank_3
2019102632,セイウンハーデス,2022/10/23,4阪神7,晴,11,菊花賞(GI),18,5,10,61.1,12,17,00732,幸英明,57,芝3000,良,3:07.6,5.2,1-1-1-2,34.9-37.0,42.2,466(-8),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,466,5.3333333333333333
2019102632,セイウンハーデス,2023/04/09,2阪神6,晴,10,競馬法100周年記念(3勝クラス),16,6,12,4.4,2,1,00732,幸英明,57,芝2000,良,1:58.9,-0.2,3-3-5-5,37.0-34.9,34.5,480(+14),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,480,10.6666666666666667
2019102632,セイウンハーデス,2023/05/07,1新潟4,雨,11,新潟大賞典(GIII),16,3,6,4.8,2,2,01092,津村明秀,56,芝2000,,2:03.9,0.1,1-1,35.9-36.5,36.6,478(-2),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,478,7.3333333333333333
2019102632,セイウンハーデス,2023/07/09,2福島4,曇,11,七夕賞(GIII),16,8,15,5.2,2,1,00732,幸英明,57,芝2000,良,1:59.8,-0.2,3-4-2-2,35.5-35.0,34.9,476(-2),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,476,6.6666666666666667
2019102632,セイウンハーデス,2024/11/30,7京都1,晴,11,チャレンジC(GIII),15,6,11,16.5,9,5,00732,幸英明,57,芝2000,良,1:59.1,0.9,3-3-4-1,34.7-35.4,36.1,490(+14),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,490,1.3333333333333333
2019102632,セイウンハーデス,2025/02/16,1京都6,曇,11,京都記念(GII),12,8,11,8.4,4,8,00732,幸英明,57,芝2200,,2:16.5,0.8,2-2-2-2,37.0-34.6,35.4,488(-2),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,488,2.6666666666666667
2019102632,セイウンハーデス,2025/05/10,2東京5,曇,11,エプソムC(GIII),18,8,16,13.2,6,1,00732,幸英明,57,芝1800,,1:43.9,-0.3,6-8-8,34.2-35.1,34.3,482(-6),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,482,4.6666666666666667
2019102632,セイウンハーデス,2025/11/02,4東京11,曇,11,天皇賞(秋)(GI),14,7,12,27.7,10,7,01179,菅原明良,58,芝2000,良,1:59.0,0.4,9-12-11,37.1-32.9,32.4,472(-10),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,472,4.6666666666666667
2019102632,セイウンハーデス,2025/11/30,5東京8,晴,12,ジャパンC(GI),17,5,9,162.1,13,12,01092,津村明秀,58,芝2400,良,2:22.6,2.3,1-1-1-1,34.5-34.6,36.9,472(0),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,472,5.3333333333333333
2019102632,セイウンハーデス,2026/03/01,2中山2,晴,11,中山記念(GII),14,1,1,3.4,1,12,00732,幸英明,57,芝1800,良,1:45.9,0.8,1-1-1-1,36.3-34.4,35.2,474(+2),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,474,6.6666666666666667
2019102632,セイウンハーデス,2026/04/05,2阪神4,晴,11,大阪杯(GI),15,2,3,64.9,9,5,00732,幸英明,58,芝2000,良,1:58.0,0.4,3-4-3-4,34.9-35.5,35.3,474(0),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,474,10.3333333333333333
2019102632,セイウンハーデス,2021/12/05,6中京2,曇,9,こうやまき賞(1勝クラス),9,8,8,10.9,5,5,00732,幸英明,55,芝1600,良,1:35.6,0.3,3-4-4,36.3-35.2,35.2,472(+10),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,472,1.00000000000000000000
2019102632,セイウンハーデス,2022/02/13,1阪神2,雨,8,こぶし賞(1勝クラス),6,3,3,8.3,4,2,00732,幸英明,56,芝1600,,1:36.9,0.0,1-1,38.0-33.6,33.6,472(0),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,472,3.0000000000000000
2019102632,セイウンハーデス,2022/03/26,2阪神1,小雨,11,毎日杯(GIII),10,3,3,37.1,7,4,00732,幸英明,56,芝1800,,1:47.9,0.4,4-5,35.9-35.6,35.6,476(+4),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,476,2.6666666666666667
2019102632,セイウンハーデス,2022/05/07,2東京5,晴,11,プリンシパルS(L),15,4,8,10.1,6,1,00732,幸英明,56,芝2000,良,1:59.0,-0.1,4-5-3,35.7-34.8,34.5,468(-8),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,468,3.6666666666666667
2019102632,セイウンハーデス,2022/05/29,2東京12,晴,11,東京優駿(GI),18,1,2,150,16,11,00732,幸英明,57,芝2400,良,2:23.9,2.0,6-7-4-5,35.1-35.2,36.4,472(+4),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,472,2.3333333333333333
2019102632,セイウンハーデス,2022/09/19,4中山5,曇,11,朝日セントライト記念(GII),13,4,5,27.6,7,4,00732,幸英明,56,芝2200,,2:12.7,0.9,2-2-2-2,35.4-35.3,36.0,474(+2),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,474,5.3333333333333333
2019102632,セイウンハーデス,2021/10/31,4阪神8,曇,4,2歳新馬,16,6,11,2.6,1,1,00732,幸英明,55,芝1400,良,1:22.9,-0.2,2-2,35.1-35.7,35.5,462(0),牡7歳,シルバーステート2013 青鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],1,7,[産駒]Halo,462,4.7351598173515982
2019105346,ジャスティンパレス,2024/03/30,メイダン,,,ドバイシーマC(GI),12,,2,7.6,4,4,05509,モレイラ,57,芝2410,良,,,,,,,未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,,3.0000000000000000
2019105346,ジャスティンパレス,2023/10/29,4東京9,晴,11,天皇賞(秋)(GI),11,6,6,35.1,6,2,01170,横山武史,58,芝2000,良,1:55.6,0.4,10-10-10,34.9-34.7,33.7,468(-2),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,468,1.6666666666666667
2019105346,ジャスティンパレス,2021/11/14,5阪神4,晴,9,黄菊賞(1勝クラス),6,1,1,1.9,1,1,05339,ルメール,55,芝2000,良,2:03.3,-0.1,2-2-2-2,38.5-34.7,34.6,450(+6),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,450,1.00000000000000000000
2019105346,ジャスティンパレス,2021/12/28,5中山9,晴,11,ホープフルS(GI),15,5,8,8.8,4,2,05473,Ｃ．デム,55,芝2000,良,2:00.8,0.2,5-5-5-5,35.9-36.3,35.7,450(0),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,450,1.00000000000000000000
2019105346,ジャスティンパレス,2022/04/17,3中山8,曇,11,皐月賞(GI),18,5,10,20.9,9,9,05212,Ｍ．デム,57,芝2000,良,2:00.5,0.8,17-17-14-12,35.2-34.9,34.5,458(+8),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,458,1.3333333333333333
2019105346,ジャスティンパレス,2022/05/29,2東京12,晴,11,東京優駿(GI),18,5,9,43.1,10,9,05212,Ｍ．デム,57,芝2400,良,2:23.2,1.3,6-8-8-8,35.1-35.2,35.4,448(-10),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,448,4.0000000000000000
2019105346,ジャスティンパレス,2022/09/25,5中京7,晴,11,神戸新聞杯(GII),17,4,7,11,5,1,01157,鮫島克駿,56,芝2200,良,2:11.1,-0.6,4-5-4-3,34.7-34.7,34.4,452(+4),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,452,6.6666666666666667
2019105346,ジャスティンパレス,2022/10/23,4阪神7,晴,11,菊花賞(GI),18,8,17,9.7,4,3,01157,鮫島克駿,57,芝3000,良,3:02.5,0.1,8-6-6-4,34.9-37.0,36.5,452(0),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,452,6.3333333333333333
2019105346,ジャスティンパレス,2023/03/19,1阪神12,晴,11,阪神大賞典(GII),14,3,3,3.1,2,1,05339,ルメール,57,芝3000,良,3:06.1,-0.3,3-3-2-2,38.6-34.4,34.2,472(+16),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,472,3.6666666666666667
2019105346,ジャスティンパレス,2023/04/30,1京都4,曇,11,天皇賞(春)(GI),17,1,1,4.3,2,1,05339,ルメール,58,芝3200,,3:16.1,-0.4,8-7-7-4,35.0-35.3,34.9,472(0),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,472,3.6666666666666667
2019105346,ジャスティンパレス,2023/06/25,3阪神8,曇,11,宝塚記念(GI),17,5,9,8.5,2,3,01157,鮫島克駿,58,芝2200,良,2:11.4,0.2,12-13-11-9,34.0-35.5,35.1,470(-2),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,470,3.0000000000000000
2019105346,ジャスティンパレス,2023/12/24,5中山8,晴,11,有馬記念(GI),16,5,10,3.6,1,4,01170,横山武史,58,芝2500,良,2:31.2,0.3,16-16-12-9,30.2-35.9,34.4,474(+6),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,474,2.0000000000000000
2019105346,ジャスティンパレス,2024/06/23,4京都8,曇,11,宝塚記念(GI),13,2,2,3.7,2,10,05339,ルメール,58,芝2200,重,2:13.6,1.6,7-7-5-5,35.6-34.5,35.9,472(0),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,472,3.3333333333333333
2019105346,ジャスティンパレス,2024/10/27,4東京8,曇,11,天皇賞(秋)(GI),15,6,11,15,6,4,01163,坂井瑠星,58,芝2000,良,1:57.6,0.3,12-11-11,35.9-33.7,33.0,470(-2),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,470,6.0000000000000000
2019105346,ジャスティンパレス,2024/11/24,5東京8,晴,12,ジャパンC(GI),14,3,4,6.2,3,5,05473,Ｃ．デム,58,芝2400,良,2:26.0,0.5,7-7-7-7,37.1-33.4,33.3,468(-2),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,468,6.0000000000000000
2019105346,ジャスティンパレス,2024/12/22,5中山8,晴,11,有馬記念(GI),15,6,11,10.9,4,5,01163,坂井瑠星,58,芝2500,良,2:32.3,0.5,9-9-11-10,31.4-35.2,35.1,468(0),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,468,6.3333333333333333
2019105346,ジャスティンパレス,2025/04/06,2阪神4,晴,11,大阪杯(GI),15,4,6,10.4,6,6,01157,鮫島克駿,58,芝2000,良,1:56.6,0.4,7-7-7-6,34.9-35.1,34.2,474(+6),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,474,4.6666666666666667
2019105346,ジャスティンパレス,2025/05/04,2京都4,晴,11,天皇賞(春)(GI),15,7,13,4.9,3,6,01157,鮫島克駿,58,芝3200,良,3:15.1,1.1,12-12-3-3,36.4-35.7,36.6,474(0),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,474,5.3333333333333333
2019105346,ジャスティンパレス,2025/06/15,3阪神4,晴,11,宝塚記念(GI),17,4,7,31.5,10,3,05674,ディー,58,芝2200,,2:11.6,0.5,14-14-15-14,34.8-36.0,35.1,470(-4),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,470,5.6666666666666667
2019105346,ジャスティンパレス,2025/11/02,4東京11,曇,11,天皇賞(秋)(GI),14,3,3,20.4,8,3,01180,団野大成,58,芝2000,良,1:58.8,0.2,4-6-6,37.1-32.9,32.6,470(0),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,470,5.0000000000000000
2019105346,ジャスティンパレス,2025/11/30,5東京8,晴,12,ジャパンC(GI),17,1,1,12.2,5,5,05473,Ｃ．デム,58,芝2400,良,2:20.9,0.6,11-12-13-13,34.5-34.6,33.5,470(0),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,470,4.0000000000000000
2019105346,ジャスティンパレス,2025/12/28,5中山8,晴,11,有馬記念(GI),16,2,3,12.7,5,7,01180,団野大成,58,芝2500,良,2:32.1,0.6,15-16-11-12,29.7-35.6,35.2,472(+2),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,472,3.6666666666666667
2019105346,ジャスティンパレス,2022/12/25,5中山8,晴,11,有馬記念(GI),16,5,10,18.9,7,7,05626,マーカン,55,芝2500,良,2:33.5,1.1,3-3-4-5,30.0-35.9,36.6,456(+4),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,456,4.3333333333333333
2019105346,ジャスティンパレス,2021/09/12,5中京2,曇,5,2歳新馬,5,4,4,1.5,1,1,05339,ルメール,54,芝2000,良,2:02.3,-0.3,2-2-2-2,38.2-34.4,34.3,444(0),未知,ディープインパクト2002 鹿毛[血統][産駒]Halo系,Halo1969 黒鹿毛[血統][産駒],0,,[産駒]Halo,444,4.7351598173515982
2020102899,ソールオリエンス,2023/01/15,1中山6,曇,11,京成杯(GIII),9,4,4,2.7,2,1,01170,横山武史,56,芝2000,良,2:02.2,-0.4,5-5-5-5,37.6-35.4,34.5,462(+2),未知,キタサンブラック2012 鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],0,,[産駒]Halo,462,1.00000000000000000000
2020102899,ソールオリエンス,2023/04/16,3中山8,晴,11,皐月賞(GI),18,1,1,5.2,2,1,01170,横山武史,57,芝2000,重,2:00.6,-0.2,15-15-15-17,35.1-37.2,35.5,462(0),未知,キタサンブラック2012 鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒],0,,[産駒]Halo,462,1.00000000000000000000
