horse_id,horse_name,日付,開催,天氣,R,レース名,頭数,枠番,馬番,オッズ,人氣,着順,騎手ID,騎手,斤量,距離,馬場,タイム,着差,通過,ペース,上り,馬體重,性齢,父系,母父系
2020103390,ラヴェル,2025/06/22,3東京6,晴,11,府中牝馬S(GIII),14,5,8,15.1,7,9,01092,津村明秀,56.5,芝1800,良,1:46.6,0.6,8-7-7,35.5-35.4,35.3,462(-4),未知,キタサンブラック2012 鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒]
2020103390,ラヴェル,2025/05/18,2東京8,曇,11,ヴィクトリアマイル(GI),17,3,5,27.2,10,12,01092,津村明秀,56,芝1600,良,1:32.7,0.6,11-8,33.9-35.3,34.4,466(-12),未知,キタサンブラック2012 鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒]
2020103390,ラヴェル,2025/04/06,2阪神4,晴,11,大阪杯(GI),15,2,3,112.8,13,11,01102,北村友一,56,芝2000,良,1:56.9,0.7,8-9-8-8,34.9-35.1,34.4,478(-2),未知,キタサンブラック2012 鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒]
2020103390,ラヴェル,2025/03/16,2中京2,小雨,11,東海テレビ杯金鯱賞(GII),10,8,9,11.7,5,9,01102,北村友一,55,芝2000,重,2:03.6,2.3,7-7-6-5,35.7-38.6,38.3,480(+12),未知,キタサンブラック2012 鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒]
2020103390,ラヴェル,2024/11/30,7京都1,晴,11,チャレンジC(GIII),15,5,9,6.5,3,1,01088,川田将雅,55,芝2000,良,1:58.2,-0.3,9-9-7-6,34.7-35.4,35.0,468(0),未知,キタサンブラック2012 鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒]
2020103390,ラヴェル,2024/11/10,6京都4,曇,11,エリザベス女王杯(GI),17,8,16,41.2,12,2,01088,川田将雅,56,芝2200,良,2:11.5,0.4,8-8-8-9,35.2-34.4,34.1,468(-6),未知,キタサンブラック2012 鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒]
2020103390,ラヴェル,2024/10/13,4東京3,晴,11,オクトーバーS(L),16,7,14,7.3,5,6,01140,横山和生,55,芝2000,良,1:57.9,0.5,11-11-9,34.8-35.3,34.0,474(+16),未知,キタサンブラック2012 鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒]
2020103390,ラヴェル,2024/06/16,4京都6,晴,11,マーメイドS(GIII),16,3,5,19.9,11,5,01163,坂井瑠星,54,芝2000,良,1:57.8,0.6,6-6-9-7,34.8-36.1,34.5,458(0),未知,キタサンブラック2012 鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒]
2020103390,ラヴェル,2024/03/09,2中山5,晴,11,中山牝馬S(GIII),16,8,16,9.8,7,11,01170,横山武史,54,芝1800,,1:49.6,0.6,8-8-9-6,37.4-36.2,36.2,458(0),未知,キタサンブラック2012 鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒]
2020103390,ラヴェル,2024/02/11,2京都6,曇,11,京都記念(GII),12,5,6,20.4,6,5,05212,Ｍ．デム,54,芝2200,良,2:12.6,0.5,6-6-5-6,35.3-35.7,35.2,458(+2),未知,キタサンブラック2012 鹿毛[血統][産駒]Halo系,サンデーサイレンスSunday Silence(米)1986 青鹿毛[血統][産駒]
