年度,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,タイム(秒),着差,通過,上り3F,単勝,人気,馬体重
2006,1,7,14,ダイワメジャー,牡5,58,安藤勝己,1:58.8,118.8,,2-2-2,35.2,7.0,4,528(+2)
2006,2,5,10,スウィフトカレント,牡5,58,横山典弘,1:58.9,118.9,1/2,9-7-6,34.7,16.9,7,484(+10)
2006,3,8,15,アドマイヤムーン,牡3,56,武豊,1:59.0,119.0,3/4,10-10-10,34.2,6.0,2,464(-6)
2006,4,4,8,コスモバルク,牡5,58,五十嵐冬,1:59.1,119.1,3/4,6-6-6,34.9,6.2,3,500(+2)
2006,5,4,7,スイープトウショウ,牝5,56,池添謙一,1:59.2,119.2,3/4,8-9-9,34.6,3.9,1,458(-12)
2006,6,2,4,ダンスインザムード,牝5,56,北村宏司,1:59.3,119.3,1/2,3-3-3,35.5,7.1,5,482(-6)
2006,7,1,1,アサクサデンエン,牡7,58,田中勝春,1:59.4,119.4,クビ,7-7-8,35.1,18.9,8,496(+2)
2006,8,6,12,ハットトリック,牡5,58,岩田康誠,1:59.8,119.8,2.1/2,11-11-11,34.8,44.3,14,494(+2)
2006,9,2,3,サクラメガワンダー,牡3,56,内田博幸,1:59.9,119.9,クビ,4-4-4,36.0,41.0,12,468(+2)
2006,10,3,5,ローエングリン,牡7,58,柴田善臣,2:00.0,120.0,3/4,4-4-4,36.0,34.5,11,494(0)
2006,11,6,11,ファストタテヤマ,牡7,58,武幸四郎,2:00.7,120.7,4,14-14-13,35.2,41.8,13,460(+2)
2006,12,8,16,グレイトジャーニー,牡5,58,蛯名正義,2:00.8,120.8,クビ,12-12-11,35.8,91.1,16,466(+2)
2006,13,8,17,ローゼンクロイツ,牡4,58,後藤浩輝,2:00.9,120.9,3/4,14-15-13,35.4,54.4,15,450(-6)
2006,14,7,13,オースミグラスワン,牡4,58,四位洋文,2:01.0,121.0,1/2,16-16-16,35.1,24.8,10,534(+2)
2006,15,5,9,インティライミ,牡4,58,佐藤哲三,2:01.2,121.2,1.1/4,1-1-1,38.0,16.2,6,478(-4)
2006,16,1,2,カンパニー,牡5,58,福永祐一,2:01.4,121.4,1.1/2,12-12-13,35.9,22.0,9,456(0)
2006,除,3,6,トリリオンカット,牡6,58,和田竜二,,,,,,---,,460(-2)
2007,1,1,1,メイショウサムソン,牡4,58,武豊,1:58.4,118.4,,5-4-4,34.6,2.9,1,518(0)
2007,2,5,9,アグネスアーク,牡4,58,吉田隼人,1:58.8,118.8,2.1/2,7-7-7,34.7,30.5,7,430(0)
2007,3,3,6,カンパニー,牡6,58,福永祐一,1:58.8,118.8,クビ,10-10-10,34.6,24.5,6,460(-2)
2007,4,8,15,ポップロック,牡6,58,ペリエ,1:59.0,119.0,1.1/4,13-13-14,34.4,6.1,4,496(-4)
2007,5,2,3,コスモバルク,牡6,58,五十嵐冬,1:59.1,119.1,クビ,1-1-1,35.7,46.9,11,504(-3)
2007,6,6,12,アドマイヤムーン,牡4,58,岩田康誠,1:59.1,119.1,クビ,9-7-7,35.0,3.8,2,472(+4)
2007,7,4,7,シルクネクサス,牡5,58,四位洋文,1:59.1,119.1,ハナ,7-7-7,35.1,105.5,15,502(+4)
