horse_name,騎手,jockey_win_rate,父系,綜合競爭力指數
コスモキュランダ,横山武史,0.1,アルアイン2014 鹿毛[血統][産駒]Halo系,1.2
クイーンズウォーク,川田将雅,0.1,キズナ2010 青鹿毛[血統][産駒]Halo系,1.2
ミュージアムマイル,Ｃ．デム,0.1,リオンディーズ2013 黒鹿毛[血統][産駒]Mr. Prospector系,3.5999999999999996
メイショウタバル,武豊,0.1,ゴールドシップ2009 芦毛[血統][産駒]Halo系,3.5999999999999996
ジャスティンパレス,団野大成,0.1,ディープインパクト2002 鹿毛[血統][産駒]Halo系,6.0
ホウオウビスケッツ,岩田望来,0.1,マインドユアビスケッツMind Your Biscuits(米)2013 栗毛[血統][産駒]Deputy Minister系,6.0
シランケド,横山武史,0.1,デクラレーションオブウォー2009 鹿毛[血統][産駒]Danzig系,7.199999999999999
アーバンシック,三浦皇成,0.1,スワーヴリチャード2014 栗毛[血統][産駒]Halo系,8.4
エコロヴァルツ,浜中俊,0.1,ブラックタイド2001 黒鹿毛[血統][産駒]Halo系,8.4
タスティエーラ,松山弘平,0.1,サトノクラウン2012 黒鹿毛[血統][産駒]Northern Dancer系,9.6
ブレイディヴェーグ,マーカン,0.1,ロードカナロア2008 鹿毛[血統][産駒]Mr. Prospector系,10.799999999999999
セイウンハーデス,幸英明,0.1,シルバーステート2013 青鹿毛[血統][産駒]Halo系,10.799999999999999
マスカレードボール,,0.1,,12.0
ソールオリエンス,丹内祐次,0.1,キタサンブラック2012 鹿毛[血統][産駒]Halo系,14.299999999999999
